"id","startDate","endDate","boat","product","departurePort","arrivalPort","tripStatus","availableSpaces","bookedSpaces","optionSpaces","price","parentPrice"
26409,"2025-07-05","2025-07-12","Blue Horizon","Daedalus & St. Johns","Port Ghalib","Port Ghalib","Confirmed",0,26,0,"1505.00",""
18306,"2025-07-05","2025-07-12","Blue Melody","Rocky, Zabargad & St. Johns","Port Ghalib","Port Ghalib","Confirmed",0,26,0,"",""
13562,"2025-07-06","2025-07-13","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",0,24,0,"",""
26937,"2025-07-06","2025-07-09","Nusantara","Best of Komodo 4D/3N","Labuan Bajo","Labuan Bajo","Confirmed",7,4,1,"840.00",""
6178,"2025-07-07","2025-07-14","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",0,16,0,"",""
22928,"2025-07-08","2025-07-15","Indo Master","Komodo National Park","Labuan Bajo","Labuan Bajo","Confirmed",4,14,0,"0.00",""
33691,"2025-07-08","2025-07-11","Lagoon 380","Short 4 days / 3 nights cruise","Nosy Be","Nosy Be","Not confirmed",8,0,0,"",""
17351,"2025-07-09","2025-07-19","Sea Hunter","Cocos Island","Puntarenas","Puntarenas","Confirmed",0,20,0,"6990.00",""
15674,"2025-07-10","2025-07-17","Heaven Saphir","Elphinstone - Rocky Island– St. John’s","Port Ghalib","Port Ghalib","Not confirmed",20,0,0,"1620.00",""
22483,"2025-07-10","2025-07-17","White Pearl","Best of Central Atolls 7 nights","Male","Male","Not confirmed",0,0,26,"",""
15304,"2025-07-10","2025-07-17","Carpe Diem Phinisi","Komodo Yoga and Diving","Labuan Bajo","Labuan Bajo","Confirmed",7,1,0,"2520.00","2800.00"
32541,"2025-07-10","2025-07-13","The Junk","Southern Explorer","Chalong Pier","Chalong Pier","Confirmed",9,7,2,"0.00",""
13090,"2025-07-11","2025-07-21","Black Pearl","Best of Palau Special 10 nights","Malakal","Koror","Confirmed",9,14,1,"4811.00","5660.00"
26975,"2025-07-11","2025-07-13","Nusantara","Best of Komodo 3D/2N","Labuan Bajo","Labuan Bajo","Confirmed",12,0,0,"630.00",""
34909,"2025-07-11","2025-07-20","Jelajahi Laut","Bali - Komodo Whalesharks 10D/9N","Bali","Labuan Bajo","Confirmed",1,11,0,"3555.00","3950.00"
6815,"2025-07-12","2025-07-22","Philippine Siren","Malapascua & Visayas","Mactan","Mactan","Confirmed",0,16,0,"4300.00",""
22385,"2025-07-12","2025-07-17","Horizon-2 Surf Safari","Freediving Trip (Maldives)","Male","Male","Confirmed",0,12,0,"2962.00",""
28451,"2025-07-12","2025-07-16","Anne Bonny","Komodo","Labuan Bajo","Labuan Bajo","Confirmed",0,9,0,"",""
18162,"2025-07-12","2025-07-19","Blue Horizon","Rocky, Zabargad & St. Johns","Port Ghalib","Port Ghalib","Confirmed",7,16,1,"1204.00","1505.00"
18307,"2025-07-12","2025-07-19","Blue Melody","Brothers, Daedalus & Elphinstone","Port Ghalib","Hurghada","Confirmed",26,0,0,"",""
6676,"2025-07-13","2025-07-20","Palau Siren","Palau Islands","Koror","Koror","Confirmed",0,16,0,"",""
13563,"2025-07-13","2025-07-20","Horizon-3 Dive Safari","Best Of The Central Atolls (Male-Ari-Vaavu-Male)","Male","Male","Confirmed",0,24,0,"",""
33692,"2025-07-13","2025-07-18","Lagoon 380","Classic 6 days / 5 nights cruise","Nosy Be","Nosy Be","Not confirmed",8,0,0,"",""
6179,"2025-07-14","2025-07-21","Galapagos Master","Master the Galapagos","Port of San Cristobal","Port of San Cristobal","Confirmed",0,16,0,"",""
